"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"alpha-amanitin.resistance.0.2","186","Both","Pathogen response","Mean number of flies exposed to alpha-amanitin, at concentration 0.2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Mitchell et al (2017) PLOS One"
"alpha-amanitin.resistance.2","186","Both","Pathogen response","Mean number of flies exposed to alpha-amanitin, at concentration 2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Mitchell et al (2017) PLOS One"
"alpha-amanitin.resistance.LC50","36","Both","Pathogen response","Mean alpha-amanitin concentration required for 50% of larvae to die prior to reaching adulthood (LC50). Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a higher LC50 and a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Mitchell et al (2017) PLOS One"
"alpha-Ketoglutaric.acid.high.yeast.f","178","Female","Metabolome","Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"alpha-Ketoglutaric.acid.low.yeast.f","178","Female","Metabolome","Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"amino.acid.pref.post.limitation.f","36","Female","Sensory","Mean change in amino acid diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the amino acid mixture after deprivation.","Toshima et al (2014) Journal of Insect Physiology"
"amino.acid.pref.post.limitation.m","36","Male","Sensory","Mean change in amino acid diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the amino acid mixture after deprivation.","Toshima et al (2014) Journal of Insect Physiology"
"aminoisobutyrate.high.yeast.f","178","Female","Metabolome","Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"aminoisobutyrate.low.yeast.f","178","Female","Metabolome","Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"AMP.high.yeast.f","178","Female","Metabolome","Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"AMP.low.yeast.f","178","Female","Metabolome","Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"anoxia.tolerance.adult.f","171","Female","Stress response","Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Campwell et al (2019) G3"
"anoxia.tolerance.adult.m","171","Male","Stress response","Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Campwell et al (2019) G3"
"anoxia.tolerance.larval","169","Both","Stress response","Mean survival (larvae that pupated) for late third instar larvae, 24 hours after exposure to one hour of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Campwell et al (2019) G3"
"anthranilate.high.yeast.f","178","Female","Metabolome","Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"anthranilate.low.yeast.f","178","Female","Metabolome","Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"approach.female.m","166","Male","Behavioural","Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.","Gaertner et al (2015) G3"
"arachidonate.high.yeast.f","178","Female","Metabolome","Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"arachidonate.low.yeast.f","178","Female","Metabolome","Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"arginine.high.yeast.f","178","Female","Metabolome","Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"arginine.low.yeast.f","178","Female","Metabolome","Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Asaia.prunellae.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Asaia.prunellae.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Asaia.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Asaia.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"asparagine.high.yeast.f","178","Female","Metabolome","Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
