Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
acute.cold.exposure.resistance.25C,Female,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0.41,0.18,0.59,0.69,0.16,0.29,0.15,0.42
acute.cold.exposure.resistance.25C,Male,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0.16,0.67,0.84,0.19,0.17,0.33,0.18,0.24
adenine.high.yeast,Female,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.22,0.55,0.77,0.29,0.16,0.32,0.17,0.27
adenine.low.yeast,Female,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.07,1.07,0,0.21,0.43,0.24,0.2
adenosine.high.yeast,Female,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.19,0.61,0.8,0.24,0.14,0.28,0.16,0.21
adenosine.low.yeast,Female,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.24,0.51,0.75,0.32,0.15,0.29,0.16,0.26
ADP.high.yeast,Female,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.31,0.39,0.7,0.44,0.17,0.32,0.17,0.34
ADP.low.yeast,Female,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.21,0.56,0.78,0.27,0.14,0.27,0.15,0.22
aggression.2015,Male,Behavioural,Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,Shorter et al (2015) PNAS,0,1.01,1.01,0,0.14,0.3,0.17,0.14
agmatine.high.yeast,Female,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.06,0.88,0.94,0.06,0.14,0.28,0.17,0.15
agmatine.low.yeast,Female,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.28,0.44,0.72,0.39,0.17,0.31,0.16,0.31
Agrobacterium.tumefaciens,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.09,0.81,0.9,0.1,0.09,0.19,0.12,0.11
Agrobacterium.tumefaciens,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.51,0.01,0.52,0.97,0.11,0.16,0.08,0.31
alanine.high.yeast,Female,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.17,0.67,0.83,0.2,0.17,0.34,0.18,0.24
alanine.low.yeast,Female,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.29,0.42,0.71,0.41,0.17,0.31,0.16,0.32
allantoin.high.yeast,Female,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.26,1.26,0,0.26,0.53,0.29,0.21
allantoin.low.yeast,Female,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.01,1.01,0,0.17,0.35,0.2,0.16
alpha-Ketoglutaric.acid.high.yeast,Female,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.04,0.91,0.96,0.04,0.18,0.37,0.2,0.2
alpha-Ketoglutaric.acid.low.yeast,Female,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.16,0.68,0.84,0.19,0.17,0.33,0.18,0.23
aminoisobutyrate.high.yeast,Female,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.02,1.02,0,0.15,0.31,0.18,0.14
aminoisobutyrate.low.yeast,Female,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.09,1.09,0,0.22,0.45,0.24,0.2
AMP.high.yeast,Female,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.27,1.27,0,0.2,0.4,0.23,0.16
AMP.low.yeast,Female,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.08,0.83,0.92,0.09,0.15,0.3,0.17,0.17
anoxia.tolerance.adult,Female,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3,0.06,0.88,0.94,0.06,0.18,0.36,0.2,0.2
anoxia.tolerance.adult,Male,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3,0,1.01,1.01,0,0.17,0.35,0.2,0.17
anthranilate.high.yeast,Female,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.13,0.73,0.87,0.15,0.17,0.34,0.19,0.23
anthranilate.low.yeast,Female,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.32,0.35,0.67,0.48,0.13,0.25,0.13,0.27
approach.female,Male,Behavioural,"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",Gaertner et al (2015) G3,0.5,0,0.5,1,0.11,0.18,0.1,0.36
arachidonate.high.yeast,Female,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.06,0.88,0.94,0.06,0.15,0.32,0.18,0.17
arachidonate.low.yeast,Female,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.25,1.25,0,0.25,0.5,0.27,0.2
arginine.high.yeast,Female,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.19,0.63,0.82,0.23,0.19,0.37,0.2,0.28
arginine.low.yeast,Female,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.06,1.06,0,0.2,0.42,0.23,0.19
Asaia.prunellae,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.43,0.16,0.59,0.73,0.15,0.25,0.12,0.37
Asaia.prunellae,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.23,0.56,0.78,0.29,0.18,0.34,0.18,0.28
Asaia.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.13,0.74,0.87,0.15,0.15,0.29,0.16,0.19
Asaia.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.17,0.67,0.84,0.2,0.18,0.36,0.19,0.26
asparagine.high.yeast,Female,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.24,0.53,0.76,0.31,0.16,0.31,0.17,0.27
asparagine.low.yeast,Female,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.22,0.56,0.77,0.28,0.14,0.28,0.15,0.23
aspartic.acid.high.yeast,Female,Metabolome,Mean relative aspartic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.03,0.94,0.97,0.03,0.17,0.36,0.2,0.18
aspartic.acid.low.yeast,Female,Metabolome,Mean relative aspartic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.26,0.47,0.73,0.36,0.14,0.27,0.15,0.26
